comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
CoLA vs GADNR,CoLA,GADNR,validation_f1,wilcoxon,1.0,0.125,5,-0.8356073978297122,1.0,False,holm,broad_complete_case
CoLA vs OCGNN,CoLA,OCGNN,validation_f1,wilcoxon,3.0,0.3125,5,0.5917955096643338,1.0,False,holm,broad_complete_case
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,validation_f1,wilcoxon,6.0,0.8125,5,0.23277181650196963,1.0,False,holm,broad_complete_case
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,validation_f1,wilcoxon,3.0,0.625,5,-0.3600048101305741,1.0,False,holm,broad_complete_case
DLG-Aug vs GADNR,DLG-Aug,GADNR,validation_f1,wilcoxon,0.0,0.0625,5,1.337914189368421,1.0,False,holm,broad_complete_case
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,1.9636503870092004,1.0,False,holm,broad_complete_case
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,validation_f1,wilcoxon,6.0,0.8125,5,-0.365949483746562,1.0,False,holm,broad_complete_case
DLG-Base vs GADNR,DLG-Base,GADNR,validation_f1,wilcoxon,0.0,0.0625,5,1.3178183979758884,1.0,False,holm,broad_complete_case
DLG-Base vs OCGNN,DLG-Base,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,1.9337230479493435,1.0,False,holm,broad_complete_case
DOMINANT vs GADNR,DOMINANT,GADNR,validation_f1,wilcoxon,0.0,0.0625,5,1.3583164001628492,1.0,False,holm,broad_complete_case
DOMINANT vs OCGNN,DOMINANT,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,1.955421245856812,1.0,False,holm,broad_complete_case
GADNR vs OCGNN,GADNR,OCGNN,validation_f1,wilcoxon,0.0,0.0625,5,1.0087547860758284,1.0,False,holm,broad_complete_case
CoLA vs DLG-Aug,CoLA,DLG-Aug,roc_auc,wilcoxon,0.0,0.001953125,10,-1.439655469538942,0.01953125,True,holm,scalable_detector
CoLA vs DLG-Base,CoLA,DLG-Base,roc_auc,wilcoxon,3.0,0.009765625,10,-1.0483677048376834,0.05859375,False,holm,scalable_detector
CoLA vs DOMINANT,CoLA,DOMINANT,roc_auc,wilcoxon,3.0,0.009765625,10,-1.0399963428896093,0.05859375,False,holm,scalable_detector
CoLA vs OCGNN,CoLA,OCGNN,roc_auc,wilcoxon,7.0,0.037109375,10,0.6468951535474146,0.1484375,False,holm,scalable_detector
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,roc_auc,wilcoxon,21.0,0.556640625,10,0.43952563541290623,1.0,False,holm,scalable_detector
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,roc_auc,wilcoxon,22.0,0.625,10,0.445059354539038,1.0,False,holm,scalable_detector
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,roc_auc,wilcoxon,0.0,0.001953125,10,2.5434562242416,0.01953125,True,holm,scalable_detector
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,roc_auc,wilcoxon,18.0,0.375,10,0.42647963264707156,1.0,False,holm,scalable_detector
DLG-Base vs OCGNN,DLG-Base,OCGNN,roc_auc,wilcoxon,2.0,0.005859375,10,1.7080589928903274,0.046875,True,holm,scalable_detector
